자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지,1,아파트,101782,108.74,84.87,A,320000.0,202607,298.0
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지,1,아파트,133245,108.69,84.55,B,320000.0,202607,298.0
강남구,삼성동,1168010500,25956,삼성루첸시아,1,아파트,110621,112.49,83.52,,134700.0,202607,10.0
강남구,삼성동,1168010500,25956,삼성루첸시아,1,아파트,140253,114.87,84.99,,138200.0,202607,10.0
강남구,삼성동,1168010500,39,삼성동한솔,1,아파트,171098,114.73,85.0,,245000.0,202607,263.0
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지,1,아파트,186169,109.5,84.23,A,345000.0,202607,926.0
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지,1,아파트,195040,109.54,84.34,B,345000.0,202607,926.0
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지,1,아파트,201737,111.11,84.43,C,335000.0,202607,926.0
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지,1,아파트,206829,111.25,84.67,D,335000.0,202607,926.0
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지,1,아파트,134592,109.4,84.23,A,350000.0,202607,1144.0
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지,1,아파트,157405,109.54,84.34,B,350000.0,202607,1144.0
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지,1,아파트,186168,109.62,84.5,C,350000.0,202607,1144.0
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지,1,아파트,173984,109.58,84.41,D,340000.0,202607,1144.0
강남구,삼성동,1168010500,20338,삼성월드타워,1,아파트,67085,95.56,83.84,A,,202607,46.0
강남구,삼성동,1168010500,20338,삼성월드타워,1,아파트,106827,95.96,84.2,B,193800.0,202607,46.0
강남구,삼성동,1168010500,20338,삼성월드타워,1,아파트,137246,96.55,84.72,C,,202607,46.0
강남구,삼성동,1168010500,14386,삼성팰리스(71-16),1,아파트,14156,101.28,84.68,,150100.0,202607,19.0
강남구,삼성동,1168010500,14387,삼성펠리스(129-5),1,아파트,14157,90.02,83.55,,120300.0,202607,18.0
강남구,삼성동,1168010500,44,석탑,1,아파트,49405,106.24,84.6,,242500.0,202607,139.0
강남구,삼성동,1168010500,43,서광,1,아파트,93374,104.43,84.93,A,260000.0,202607,304.0
강남구,삼성동,1168010500,43,서광,1,아파트,127775,104.38,84.9,B,260000.0,202607,304.0
강남구,삼성동,1168010500,14785,영무예다음,1,아파트,14548,105.72,84.84,,168900.0,202607,45.0
강남구,삼성동,1168010500,18725,이안애2차,1,아파트,65750,94.47,84.25,,,202607,
강남구,삼성동,1168010500,42,청구.,1,아파트,41,104.76,84.99,,267500.0,202607,167.0
강남구,삼성동,1168010500,51,풍림(1차),1,아파트,93381,109.71,84.78,,277500.0,202607,252.0
강남구,삼성동,1168010500,47,푸른솔,1,아파트,49407,106.08,84.9,,192500.0,202607,61.0
강남구,삼성동,1168010500,40,현대,1,아파트,127773,108.31,84.87,,250000.0,202607,198.0
강남구,세곡동,1168011100,24991,강남데시앙파크,1,아파트,70879,108.54,84.95,C,150000.0,202607,546.0
강남구,세곡동,1168011100,24991,강남데시앙파크,1,아파트,161457,109.96,84.97,B,150000.0,202607,546.0
