자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
서초구,방배동,1165010100,1682100,래미안원페를라,01,아파트,4868241,81.22,59.78,C,,202607
서초구,방배동,1165010100,1682100,래미안원페를라,01,아파트,4868242,82.05,59.95,B,,202607
서초구,방배동,1165010100,1639,방배1차현대,01,아파트,1547,85.04,59.94,,220000.0,202607
서초구,방배동,1165010100,1615,방배2차현대홈타운,01,아파트,1524,81.58,59.86,,202500.0,202607
서초구,방배동,1165010100,1615,방배2차현대홈타운,01,아파트,50832,81.58,59.86,C,202500.0,202607
서초구,방배동,1165010100,45354,방배그랑자이,01,아파트,44096,78.43,59.96,A,260000.0,202607
서초구,방배동,1165010100,45354,방배그랑자이,01,아파트,88731,79.29,59.74,B,260000.0,202607
서초구,방배동,1165010100,26102,방배롯데캐슬아르떼,01,아파트,25022,84.93,59.99,A,262500.0,202607
서초구,방배동,1165010100,26102,방배롯데캐슬아르떼,01,아파트,71861,84.27,59.97,B,262500.0,202607
서초구,방배동,1165010100,12327,방배래미안(1차),01,아파트,12130,78.51,59.9,A,172500.0,202607
서초구,방배동,1165010100,12327,방배래미안(1차),01,아파트,60262,78.51,59.9,B,172500.0,202607
서초구,방배동,1165010100,41236,방배서리풀그랑블,01,아파트,121313,77.54,59.93,,,202607
서초구,방배동,1165010100,35419,방배아트자이,01,아파트,34258,80.56,59.99,A,250000.0,202607
서초구,방배동,1165010100,35419,방배아트자이,01,아파트,117385,80.75,59.97,B,250000.0,202607
서초구,방배동,1165010100,35419,방배아트자이,01,아파트,80075,80.58,59.9,C,250000.0,202607
서초구,방배동,1165010100,15968,방배서리풀e편한세상,01,아파트,15700,83.92,59.94,A,230000.0,202607
서초구,방배동,1165010100,15968,방배서리풀e편한세상,01,아파트,63466,85.42,59.97,B,220000.0,202607
서초구,방배동,1165010100,425029,방배중앙센트레빌,01,아파트,1256408,85.78,59.77,A,,202607
서초구,방배동,1165010100,425029,방배중앙센트레빌,01,아파트,1256409,85.92,59.87,B,,202607
서초구,방배동,1165010100,425029,방배중앙센트레빌,01,아파트,1256410,85.99,59.92,C,,202607
서초구,방배동,1165010100,425029,방배중앙센트레빌,01,아파트,1256407,86.01,59.93,D,,202607
서초구,방배동,1165010100,425029,방배중앙센트레빌,01,아파트,1256411,86.01,59.93,E,,202607
서초구,방배동,1165010100,429920,방배하이빌9차(도),01,아파트,1265164,70.78,59.19,B,,202607
서초구,방배동,1165010100,48966,서리풀프라젠,01,아파트,152221,72.42,59.97,C,118900.0,202607
