시작연도,매수방식,경과개월,날짜,월봉종가(달러),10개월이동평균(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2008,균등 분할매수,79,2014-07-31,86.75537872314453,80.67385864257812,1027.75,균등분할,0.0,1037.962813978075,1000000.0,1000000.0,11.215434530642783,0.0,0.0,1026.7473794474322,91547712.80971375,91547712.80971375
2008,균등 분할매수,80,2014-08-31,91.10135650634766,82.31735305786133,1013.85,균등분할,0.0,1026.7473794474322,1000000.0,1000000.0,10.826833319247672,0.0,0.0,1015.9205461281845,93833581.45193817,93833581.45193817
2008,균등 분할매수,81,2014-09-30,90.41207122802734,83.62676544189453,1054.55,균등분할,0.0,1015.9205461281845,1000000.0,1000000.0,10.48833150054709,0.0,0.0,1005.4322146276373,95861979.05502817,95861979.05502817
2008,균등 분할매수,82,2014-10-31,92.80074310302734,84.94872665405273,1073.07,균등분할,0.0,1005.4322146276373,1000000.0,1000000.0,10.042006375283018,0.0,0.0,995.3902082523543,99122642.53310642,99122642.53310642
2008,균등 분할매수,83,2014-11-30,97.01973724365234,86.84548797607422,1112.06,균등분할,0.0,995.3902082523543,1000000.0,1000000.0,9.268547631354872,0.0,0.0,986.1216606209995,106394410.41280474,106394410.41280474
2008,균등 분할매수,84,2014-12-31,94.84589385986328,88.12270736694336,1090.89,균등분할,0.0,986.1216606209995,1000000.0,1000000.0,9.664969892829356,0.0,0.0,976.4566907281701,101030494.82364386,101030494.82364386
2008,균등 분할매수,85,2015-01-31,92.87092590332031,89.42678451538086,1104.3,균등분할,0.0,976.4566907281701,1000000.0,1000000.0,9.750640676750715,0.0,0.0,966.7060500514194,99142823.74864037,99142823.74864037
2008,균등 분할매수,86,2015-02-28,99.57672119140625,91.42693862915038,1100.65,균등분할,0.0,966.7060500514194,1000000.0,1000000.0,9.12416100249861,0.0,0.0,957.5818890489209,104950130.62425041,104950130.62425041
2008,균등 분할매수,87,2015-03-31,97.22773742675781,92.83524932861329,1107.71,균등분할,0.0,957.5818890489209,1000000.0,1000000.0,9.285039254573377,0.0,0.0,948.2968497943475,102131700.66322128,102131700.66322128
2008,균등 분할매수,88,2015-04-30,99.0968017578125,94.17073669433594,1076.74,균등분할,0.0,948.2968497943475,1000000.0,1000000.0,9.371940325827362,0.0,0.0,938.9249094685201,100184687.14328171,100184687.14328171
2008,균등 분할매수,89,2015-05-31,101.32493591308594,95.62769241333008,1111.99,균등분할,0.0,938.9249094685201,1000000.0,1000000.0,8.875294660331368,0.0,0.0,930.0496148081887,104790843.61729398,104790843.61729398
2008,균등 분할매수,90,2015-06-30,98.80791473388672,96.39834823608399,1117.34,균등분할,0.0,930.0496148081887,1000000.0,1000000.0,9.057804015435142,0.0,0.0,920.9918107927535,101679370.54316014,101679370.54316014
2008,균등 분할매수,91,2015-07-31,103.31134796142578,97.68827590942382,1159.7,균등분할,0.0,920.9918107927535,1000000.0,1000000.0,8.346536843016521,0.0,0.0,912.645273949737,109344185.63231285,109344185.63231285
2008,균등 분할매수,92,2015-08-31,96.26090240478516,98.0342918395996,1182.54,균등분할,0.0,912.645273949737,1000000.0,1000000.0,8.784847593885019,0.0,0.0,903.8604263558519,102888572.24854004,102888572.24854004
2008,균등 분할매수,93,2015-09-30,94.13612365722656,97.74593048095703,1184.62,균등분할,0.0,903.8604263558519,1000000.0,1000000.0,8.967360482396298,0.0,0.0,894.8930658734556,99794478.83579654,99794478.83579654
2008,균등 분할매수,94,2015-10-31,104.83932495117188,98.74527359008789,1140.5,균등분할,0.0,894.8930658734556,1000000.0,1000000.0,8.363354283034287,0.0,0.0,886.5297115904214,106001692.81227458,106001692.81227458
2008,균등 분할매수,95,2015-11-30,105.47759246826172,100.00594024658203,1149.39,균등분할,0.0,886.5297115904214,1000000.0,1000000.0,8.248450589937223,0.0,0.0,878.2812610004842,106478332.0726867,106478332.0726867
2008,균등 분할매수,96,2015-12-31,103.79546356201172,100.42781448364258,1169.26,균등분할,0.0,878.2812610004842,1000000.0,1000000.0,8.239683580577283,0.0,0.0,870.0415774199068,105591624.83748564,105591624.83748564
2008,균등 분할매수,97,2016-01-31,96.62279510498047,100.36732025146485,1210.04,균등분할,0.0,870.0415774199068,1000000.0,1000000.0,8.553043414431832,0.0,0.0,861.488534005475,100723040.00607048,100723040.00607048
2008,균등 분할매수,98,2016-02-29,95.11029815673828,99.96866989135742,1238.09,균등분할,0.0,861.488534005475,1000000.0,1000000.0,8.492200534746251,0.0,0.0,852.9963334707287,100444676.26272516,100444676.26272516
2008,균등 분할매수,99,2016-03-31,101.62779998779297,99.99895629882812,1138.86,균등분할,0.0,852.9963334707287,1000000.0,1000000.0,8.640067517107717,0.0,0.0,844.356265953621,97725655.99536787,97725655.99536787
