strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
과세이연,23,5000000.0,131954.78242538963,349728959.3722363,27282445.944792252,22727272.72727272,4555173.217519533,100000000.0,20042762.157085955,36000000.0,5251058.268525898,161152693.00183222,0.0
과세이연,24,5000000.0,137306.1834485339,346886138.76246166,25000000.0,20661157.02479338,4338842.975206621,100000000.0,21000000.00000006,54000000.0,5580000.000000015,138806138.7624616,2500000.0000000037
과세이연,25,5000000.0,71313.14451545505,344561009.05020607,25199353.5107226,20661157.02479338,4538196.485929221,100000000.0,21964870.991897434,54000000.0,6055099.286754109,137341685.26083195,0.0
과세이연,26,5000000.0,147915.20656332732,342160671.71613383,25400296.694334686,20661157.02479338,4739139.669541307,100000000.0,22937436.00057994,54000000.0,6533987.081938438,133288951.93928078,0.0
과세이연,27,5000000.0,153173.0441370813,339735935.91750926,25602842.22711113,20661157.02479338,4941685.202317752,100000000.0,23917756.379217938,54000000.0,7016693.5956512615,129198643.71552894,0.0
과세이연,28,5000000.0,158399.9105259222,337286638.06873465,25807002.886409186,20661157.02479338,5145845.861615807,100000000.0,24905893.97022052,54000000.0,7503249.278890386,125070491.93321455,0.0
과세이연,29,5000000.0,163595.91516817085,334812613.1703193,26012791.551474534,20661157.02479338,5351634.526681155,100000000.0,25901911.109136805,54000000.0,7993684.825474121,120904225.68423387,0.0
과세이연,30,5000000.0,168761.16814898365,332313694.79695874,26220221.204253796,20661157.02479338,5559064.1794604175,100000000.0,26905870.628588423,54000000.0,8488031.173977658,116699571.79013886,0.0
과세이연,31,5000000.0,173895.78018276746,329789715.0855348,26429304.930213436,20661157.02479338,5768147.9054200575,100000000.0,27917835.862233087,54000000.0,8986319.509684674,112456254.78340359,0.0
과세이연,32,5000000.0,178999.86259574658,327240504.72303927,26640055.919165276,20661157.02479338,5978898.894371897,100000000.0,28937870.64875999,54000000.0,9488581.266554698,108173996.88855928,0.0
과세이연,33,5000000.0,184073.5273086823,324665892.9344174,26852487.46609855,20661157.02479338,6191330.441305172,100000000.0,29966039.33591704,54000000.0,9994848.129206076,103852518.00319578,0.0
